,means_per_cluster_mu_fg_Adipocyte,means_per_cluster_mu_fg_B,means_per_cluster_mu_fg_Basal,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblast,means_per_cluster_mu_fg_LumHR,means_per_cluster_mu_fg_LumSec,means_per_cluster_mu_fg_Macrophage,means_per_cluster_mu_fg_Pericyte,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T,means_per_cluster_mu_fg_Tumor,means_per_cluster_mu_fg_pDC
SAMD11,0.10785088,0.15812321,0.44973475,0.043632075,0.2144741,0.41308317,0.15116149,0.009341457,0.2712055,0.1082303,0.023703864,0.08712713,0.5512574
NOC2L,0.2688167,0.063276105,0.2968452,0.16169958,0.17570752,0.57485485,0.11450412,0.122852504,0.15157345,0.18036762,0.075653926,0.49963126,0.70687133
KLHL17,0.33021945,0.08324919,0.48897415,0.036189843,0.07077954,0.577325,0.15496676,0.015239493,0.22487704,0.08783714,0.01897723,0.08360767,1.2175416
PLEKHN1,0.09359029,0.14968975,0.35631868,0.1170313,0.059497405,0.437411,0.12830004,0.020993378,0.25575405,0.09590244,0.050420843,0.19549495,1.074415
PERM1,0.4048074,0.21853723,0.7761506,0.14444695,0.003605342,0.75524604,0.5976968,0.0042050327,0.8268637,0.17067401,0.046681598,0.0344758,0.74752
HES4,0.19553012,0.06195575,0.47272295,0.436673,0.5545558,0.35777798,1.5324299,0.054339178,0.8241496,0.07486655,0.016873008,0.6996732,0.506849
ISG15,0.27954516,0.07690235,0.47597095,0.44863638,0.26193026,0.5184259,0.5047323,0.13287634,0.53383654,0.28496632,0.060785417,0.4729419,0.7974752
AGRN,0.45702803,0.073610246,0.28731617,0.48308456,0.35664758,0.3975692,0.08687821,0.09152525,0.5465183,0.34692168,0.070568435,1.7389804,0.5314202
RNF223,0.39823967,0.21412686,0.5706744,0.15881011,0.007690395,0.58950603,0.5553421,0.005846075,0.6615634,0.16497247,0.043613285,0.059221826,0.889563
C1orf159,0.17414105,0.29402766,0.32918346,0.21893884,0.33184364,0.41222507,0.65649915,0.22945353,0.38856438,0.116805635,0.10970067,1.2844489,0.6461378
TTLL10,0.3715099,0.1954291,0.6084766,0.05023458,0.0055984044,0.6211309,0.6537145,0.009180024,0.45516583,0.085295826,0.021606924,0.2356833,0.8353986
TNFRSF18,0.15996191,0.12289263,0.46379685,0.13175973,0.05060833,0.49532184,0.23732115,0.032929406,0.47820142,0.30269027,0.310785,0.057100948,0.93313515
TNFRSF4,0.30161852,0.23498632,0.69268346,0.58364606,0.08327428,0.47768795,0.42931476,0.032242324,0.64478534,0.27833003,0.1971094,0.016550725,1.2545283
SDF4,0.5751908,0.053982537,0.73545843,0.69184226,0.51488066,0.43699908,0.1258835,0.22316243,0.38865992,0.4840291,0.23075682,0.8575025,0.68532014
B3GALT6,0.07235493,0.058862332,0.333495,0.2782322,0.107332826,0.33173215,0.11528903,0.036754757,0.16453396,0.16552971,0.051410343,0.24550043,0.5719078
C1QTNF12,0.9960913,0.7419166,1.0946797,0.5384228,0.10077907,0.66105837,0.9017406,0.08055629,0.7823796,0.82146263,0.4643191,0.01850196,0.7873007
UBE2J2,0.35084325,0.13872142,0.28718665,0.34176636,0.35874102,0.28694427,0.46802616,0.27847844,0.32691443,0.2753246,0.15699798,0.6069195,0.69748753
SCNN1D,0.10805609,0.064078405,0.36065444,0.043762147,0.036499046,0.29406187,0.1355377,0.011900628,0.15643093,0.08608362,0.02135339,0.05290225,0.70773524
ACAP3,0.1947575,0.13602476,0.29970574,0.23449606,0.20309359,0.3179243,0.20324184,0.061353043,0.1610761,0.079722464,0.085198954,0.19041055,0.69144905
PUSL1,0.27151886,0.09031421,0.51974577,0.08094439,0.039382685,0.51315355,0.2025389,0.012484357,0.44122413,0.05008646,0.022252245,0.054706063,0.84884155
INTS11,0.36519653,0.13003857,0.6637625,0.48103702,0.20345221,0.28257486,0.105756536,0.12031891,0.18868311,0.13761497,0.08186983,0.48505628,0.57785016
CPTP,0.1016317,0.07489389,0.3700283,0.09676052,0.03827043,0.34438953,0.13774592,0.030245878,0.19146791,0.043512985,0.022587776,0.13810737,0.7011975
TAS1R3,0.9556514,0.741666,1.127251,0.6119663,0.19559607,0.8630005,0.95681435,0.23227425,0.82324874,0.8037627,0.5623453,0.09198002,0.9212721
DVL1,0.10115616,0.13815977,0.37994358,0.18048862,0.11643558,0.33705068,0.094989754,0.044287913,0.23053433,0.122668035,0.06077037,0.27106857,1.1634184
MXRA8,0.37545446,0.11928641,0.37590733,0.13369551,1.2918755,0.32587376,0.13045128,0.05936995,0.30779073,0.041995652,0.015882405,0.14622828,0.75726277
AURKAIP1,0.4286687,0.1280408,0.79388607,0.3325909,0.22827962,0.897736,0.121071875,0.08568153,0.70528895,0.2272746,0.16990644,0.77772915,0.87840205
CCNL2,1.4334627,0.6645904,0.26138029,1.7250746,1.5932722,1.1451931,1.3255591,0.56613135,0.67590505,0.9196768,0.59857714,1.7830232,0.5331653
ANKRD65,0.3513468,0.107770145,0.79983884,0.14782181,0.0340438,0.5020474,0.19445129,0.008721172,0.36124265,0.07495742,0.020787092,0.011754302,0.7680317
TMEM88B,1.0420185,0.8934207,0.78234947,0.9815041,0.57967585,0.7430179,1.1993927,0.71851003,0.54276425,0.58430135,0.74586433,0.22950016,0.82697797
VWA1,0.528205,0.062096164,0.31751943,1.6521181,0.11851112,0.36836898,0.114169344,0.010749431,0.55634403,0.090079375,0.0138950255,0.63888377,0.7076418
ATAD3C,0.15316767,0.08044798,0.45814204,0.18628503,0.0051364666,0.48899525,0.20028225,0.016407236,0.28369522,0.1104274,0.040500354,0.17106223,0.78791624
TMEM240,0.69505775,0.6413099,0.88172203,0.69109774,0.054168195,0.8541062,0.8121993,0.016931431,0.66818416,0.5752473,0.37439984,0.016915474,0.6848877
SSU72,0.48328522,0.13512515,0.17714581,0.6533337,0.346772,0.6900656,0.115818314,0.17326438,0.34505904,0.13207161,0.14734821,0.6374643,0.7515854
FNDC10,0.11572307,0.06711156,0.40816844,0.076172456,0.02996651,0.37294507,0.12947734,0.010210222,0.21908735,0.0825775,0.020675398,0.0679244,0.6582544
MIB2,0.27106804,0.061259378,0.30087784,0.09367216,0.12074565,0.28146055,0.24395204,0.06508341,0.370007,0.0841364,0.10361731,0.22670977,0.76853347
MMP23B,0.11446572,0.07273576,0.81770015,0.07606656,0.15686898,0.43133715,0.112350866,0.005537903,0.23377447,0.04687229,0.014741512,0.027804593,0.6786535
CDK11B,0.3869889,0.3263821,0.62334126,0.26480997,0.26874894,0.32310128,0.21289621,0.28227833,0.17888364,0.31394738,0.15136722,0.3667824,0.5613903
SLC35E2B,0.9156632,0.16902284,0.33023962,0.8744948,0.6379316,0.30976993,0.33303687,0.38117707,0.5126966,0.5255893,0.45927894,0.9906228,1.5145268
SLC35E2A,0.7717821,0.26455066,0.91612697,0.5407193,0.30853945,0.33494586,0.6366601,0.1658137,0.22469212,0.28245848,0.27380857,0.48380095,0.71301776
NADK,0.5353355,0.12653905,0.3248779,0.4125547,0.24226864,0.27570066,0.094028905,0.36901736,0.37188795,0.25529304,0.15113162,0.45005825,0.70435894
GNB1,1.3825719,2.0428252,1.4447566,4.830654,3.3636298,1.7160479,1.1507003,2.578311,2.9696903,1.4247063,1.346911,3.3486333,0.7438327
CALML6,0.70476955,0.7352516,0.7691455,0.627379,0.2356063,0.6661121,0.92233336,0.18453431,0.6954398,0.8513563,0.64656293,0.10750303,0.9591897
TMEM52,0.8640956,0.927915,0.9147321,0.47670984,0.060722433,1.2407919,0.8360601,0.03254898,0.8763248,0.59755415,0.4525143,0.023845445,0.6609528
CFAP74,0.82937443,0.8865278,0.70073813,1.6195283,0.3310649,0.8954893,0.95302343,0.26792964,0.74022907,0.61468506,0.86867744,0.09275847,0.8910039
GABRD,0.5396939,0.5412434,0.9921805,0.53462464,0.009484651,0.8349813,0.56257725,0.005420269,0.5548834,0.43007746,0.1195581,0.009178138,0.7453287
PRKCZ,0.17275454,0.13947475,0.33452868,0.5513935,0.11385311,0.362269,0.20369895,0.08603384,0.1767283,0.5596381,0.3791836,0.64062667,0.73294896
FAAP20,0.2523915,0.13278589,0.40559438,0.4135303,0.31617922,0.233761,0.09231093,0.103718154,0.30454075,0.17515989,0.056629293,0.45389915,0.64603615
SKI,1.9753242,0.8936074,0.6569327,2.1582415,1.7614726,1.3758724,0.8184581,1.3537114,1.2683539,0.20552398,1.2357768,1.39685,0.55807793
MORN1,0.08278251,0.12809938,0.2751406,0.29299715,0.18005972,1.39301,0.4350746,0.12352729,0.23511378,0.34210417,0.06791546,1.0072728,0.7998604
RER1,1.0285407,0.38582197,0.3466955,0.8878939,0.8001696,0.57499295,0.101104744,0.39535677,0.53755593,0.64467657,0.3408153,1.4415743,0.67281336
PEX10,0.18933491,0.055900525,0.42843747,0.23504019,0.06820305,0.3237356,0.112237155,0.08986304,0.19566008,0.21558444,0.035655044,0.27375254,0.55274653
PLCH2,0.66779697,0.3335831,0.7431606,0.3125216,0.029521575,0.69802314,0.7274096,0.0065915165,0.7709095,0.5431178,0.34517792,0.01641867,1.0876576
PANK4,0.1952827,0.069256574,0.38028735,0.1340413,0.06738695,0.35610524,0.11286685,0.080633074,0.31038997,0.078283384,0.17325929,0.11048908,0.69547963
HES5,0.74535877,0.82888174,0.9014031,0.66253227,0.35206977,0.76084435,0.75711787,0.6083206,0.553113,0.92861587,0.75485146,0.4765488,0.7322497
TNFRSF14,0.28823772,0.2584981,0.36230505,0.5811121,0.27459148,0.7804384,0.11069208,0.6035048,0.35956585,0.31426874,0.20187816,0.5999148,0.662086
PRXL2B,0.2084641,0.06367994,0.36765367,0.17627881,0.047544815,0.6468815,0.120416865,0.01324891,0.1588032,0.09645538,0.033042878,0.1713782,0.67444915
MMEL1,0.13277546,0.15939745,0.5887618,0.06722704,0.009043121,0.39877868,0.115956835,0.0037174597,0.23287465,0.0471532,0.015122496,0.06854182,1.0288281
TTC34,0.20295653,0.1289982,0.74785304,0.08280253,0.0184706,0.86613405,0.5479933,0.012574412,0.36131522,0.12923166,0.038052086,0.27809045,0.45617
ACTRT2,0.8208447,0.99546343,0.70412683,0.6674862,0.73093265,0.9533647,0.7876115,0.48812857,1.0858229,0.87097174,0.58918804,0.22408825,1.091546
PRDM16,1.0985667,0.527039,0.31123406,0.8699703,0.05623185,0.89590806,0.5877099,0.16273789,0.5733381,0.5685822,0.39945096,0.010002003,0.7532036
ARHGEF16,0.07660835,0.050211202,0.3222478,0.104006395,0.022222476,0.26115698,0.11337958,0.018290525,0.17554848,0.08009677,0.016625829,0.21955344,0.87159437
MEGF6,0.1118307,0.07616002,0.44142962,0.24245137,0.4176722,0.44704932,0.15450463,0.030239757,0.35032442,0.25542104,0.08029502,0.38050774,0.29165247
TPRG1L,0.10167954,0.057710115,0.36109686,0.16940583,0.06159458,0.4453192,0.1206105,0.035541777,0.23904356,0.045554988,0.019135838,0.24568367,0.73487836
WRAP73,0.27164814,0.060170516,0.4039239,0.45098683,0.20600457,0.41779724,0.11195778,0.11315218,0.34461355,0.2879654,0.06066576,0.3227247,0.5004525
TP73,0.12974076,0.11628095,0.48935568,0.07966887,0.027889386,0.48810446,0.18620612,0.017495673,0.26130837,0.14960796,0.04290782,0.2713888,1.0089487
CCDC27,0.751527,0.63094074,0.7266826,0.9007016,0.24150065,0.6704522,0.93087965,0.24266182,0.7410932,0.7604685,0.6813823,0.03232155,0.65353155
SMIM1,0.44995373,0.67428803,0.87876815,0.36667785,0.023754654,1.0583245,0.7099685,0.007813466,0.8242474,0.7168374,0.30478773,0.029192233,0.8727045
LRRC47,0.28705376,0.12526952,0.58026224,0.20940027,0.1113123,0.35960087,0.33415756,0.08158805,0.24562742,0.20897795,0.07188,0.21040127,0.774159
CEP104,0.30016407,0.5323453,0.37448165,0.5437735,0.45049998,0.39602688,0.15193598,0.3056326,0.189951,0.27393028,0.4126276,0.63883626,1.5430768
DFFB,0.22570603,0.1966077,0.8589693,0.20377377,0.12010972,0.31084692,0.3145766,0.09079124,0.3432679,0.08911443,0.08446126,0.10901332,0.6783101
C1orf174,0.091671355,0.07216316,0.70288104,0.17057851,0.11619747,0.3413577,0.26296005,0.08524926,0.18549941,0.11667949,0.091764525,0.17100832,0.6435352
AJAP1,0.6332709,0.9319103,0.94439656,0.9712375,0.18062997,0.8907394,1.1095332,0.21938303,0.6411542,0.9017237,0.49902502,0.071794145,0.871764
NPHP4,0.4609927,0.19981246,0.3485079,0.29307416,0.41233075,1.275448,0.7132963,0.26755232,0.81576276,0.27350274,0.10728434,0.70317155,0.65856034
KCNAB2,0.7308776,0.41508895,0.742737,0.5407201,0.38338935,0.71720016,0.13466525,1.0628412,0.57329607,0.12861842,0.76950645,0.25941172,1.3212246
CHD5,0.8875331,0.75987726,0.7522265,0.538503,0.11245624,0.7824214,0.7055445,0.08941849,0.9486233,0.7520432,0.66597533,0.023146227,0.6644553
RNF207,0.35204935,0.05466433,0.4277755,0.09230318,0.21753906,0.76515937,0.6770072,0.039905813,0.38169673,0.1943156,0.07279327,0.26311663,0.8187073
ICMT,0.21222663,0.07242188,0.49516407,0.23793092,0.17763819,0.3905517,0.14544019,0.09733653,0.20630229,0.22446375,0.050552156,0.30088332,0.9775494
HES3,0.71085554,0.83419573,0.83897185,0.67449135,0.3795749,0.8220058,0.9713902,0.5305536,0.7771456,0.6545545,0.82669294,0.7365421,0.87067413
GPR153,0.18423289,0.056090694,0.34782267,0.06261639,0.17950477,0.6580312,0.1347695,0.042905066,0.1825048,0.04248301,0.01851905,0.14702351,0.6022817
ACOT7,0.29979664,0.08098777,0.70299137,0.2992063,0.06637457,0.978385,0.15425286,0.051384993,0.41179395,0.17284243,0.13062204,0.1896761,0.6504064
HES2,0.17132652,0.087789625,0.5155579,0.06596154,0.015068983,0.48725733,0.1415296,0.028407719,0.31595477,0.049729913,0.015828336,0.15182339,0.57972807
ESPN,0.1824634,0.05312946,0.28216684,0.20697176,0.02918495,0.27292454,0.23760241,0.015273343,0.15947811,0.13092753,0.032105826,0.44710875,0.6597207
TNFRSF25,0.2897017,0.2677096,0.6634009,0.5991288,0.21369666,0.36610025,0.22055328,0.119500116,0.23365313,0.2840317,0.5723511,0.3670278,0.76508844
PLEKHG5,0.29778343,0.06106406,0.40666863,0.57592833,0.064854205,0.3690121,0.12998061,0.049677823,0.3934069,0.08708124,0.03948372,0.1616859,0.6118218
NOL9,0.376836,0.18341121,0.55121505,0.32801354,0.34404036,0.36122796,0.58600104,0.21101153,0.5085018,0.2078135,0.18100859,0.42951104,0.689326
TAS1R1,0.9034024,0.7932286,0.54719,0.68707895,0.29084456,0.71559495,0.8836334,0.69181573,0.91410035,0.8305235,0.91835284,0.110660754,0.6711849
ZBTB48,0.19025576,0.07533499,0.36372373,0.16289945,0.14702062,0.6346277,0.51649046,0.16658644,0.33288944,0.14191332,0.070050575,0.25935087,0.7126959
KLHL21,0.445316,0.1523833,0.81561184,0.107918635,0.21684563,0.45064265,0.2768334,0.0882029,0.2686224,0.124540344,0.097215295,0.18510444,0.51081306
PHF13,0.18130833,0.18339546,0.33468464,0.18885937,0.10331366,0.3747777,0.09080501,0.012820969,0.17565227,0.09717344,0.0200448,0.20411576,0.68372756
THAP3,0.2731173,0.055889793,0.3272952,0.110019475,0.062259734,0.36933997,0.12725566,0.04914028,0.19789624,0.054661933,0.055101268,0.096083306,0.8763897
DNAJC11,0.7235386,0.52580595,0.6786939,0.4358095,0.43192264,0.2846905,0.12482608,0.38477877,0.54074454,0.34102935,0.20289874,0.52555275,0.6235878
CAMTA1,1.1969187,0.99214834,1.2967881,2.4802053,1.5488914,1.187255,1.4861399,1.1597755,1.157363,1.007266,0.52296203,2.2184682,2.46024
VAMP3,0.10713376,0.05751107,0.36195534,0.40386352,0.2318606,0.43746874,0.1254331,0.14637464,0.33709788,0.23558296,0.051639464,0.29955375,0.6962315
PER3,0.4934224,0.075804025,0.579474,0.18539672,0.28989065,0.50388247,0.15523905,0.53781617,0.58699787,0.19373998,0.23503216,0.32489645,0.937718
UTS2,0.18711217,0.21946573,0.33413926,0.16480704,0.07052772,0.5151068,0.39086956,0.1492812,0.6413711,0.11097509,0.22881168,0.0453768,0.6822371
TNFRSF9,0.6195762,0.4545289,0.556575,0.22871186,0.057596985,0.94257474,0.26341116,0.07643362,1.0009905,0.30421057,0.18372545,0.02179459,1.051127
PARK7,0.49682242,0.28891373,0.33125764,0.86323875,0.57023865,0.32457098,0.35999912,0.2935771,0.17960295,0.28450292,0.4265127,1.5038204,0.70080966
ERRFI1,0.9331968,0.08539939,1.1947908,0.1484551,0.54555863,1.1227787,1.2288108,0.07232182,0.92694044,0.13810404,0.017408445,1.1354629,0.8179376
SLC45A1,0.32174546,0.1729032,0.5327954,0.1350894,0.027975896,0.93955964,0.38391206,0.010464041,0.5114405,0.13134757,0.026214287,0.026189012,0.71709174
RERE,7.260704,3.5426955,2.0758305,11.251059,7.3254275,4.3687277,5.8724494,5.067376,2.6067553,4.2728653,2.6541371,12.743909,1.4601663
ENO1,1.3262572,0.31038436,1.2229546,1.6160259,1.0563942,0.69494474,0.41525567,0.970025,1.146612,0.26606593,0.33902386,3.1208637,0.78656244
CA6,0.8965233,0.8945298,0.7519273,0.7364415,0.29269198,0.7076507,0.875547,0.6791837,0.830947,0.87234885,0.5057988,0.10012157,0.5118049
SLC2A7,0.8429966,0.90941036,0.88184184,0.7892524,0.45569643,1.073853,0.57455695,0.310499,0.7540222,0.737318,0.45620105,0.46489528,0.89610153
SLC2A5,0.39714763,0.20815882,0.42185283,0.11993465,0.06355422,0.5928426,0.33793,0.09302374,0.64003444,0.46429408,0.02417947,0.012001563,0.6916746
GPR157,0.25555673,0.5988525,0.94130576,0.23623385,0.11854679,0.59002775,0.56691885,0.2601005,0.4094284,0.2594165,0.16583782,0.1392847,0.3875769
H6PD,1.1004663,0.13257684,0.28854597,0.8182486,0.6863326,0.7183527,0.69931227,0.3694363,0.19796094,0.31941095,0.2942278,0.42046177,0.6778407
SPSB1,0.23077959,0.13739249,0.42650324,1.4013804,0.9242641,0.4168945,0.13815023,0.13228138,0.45441973,0.3745753,0.21402717,0.4046038,0.96788657
SLC25A33,0.797824,0.29135817,0.6743467,0.2883503,0.24192569,0.7122161,0.40368402,0.24130584,0.24362957,0.05912953,0.07282136,0.27210444,1.5477331
TMEM201,0.133411,0.07851282,0.44930443,0.14091608,0.038535696,0.5068062,0.27391782,0.026386157,0.24308768,0.09617366,0.017556464,0.078178994,0.9535199
PIK3CD,0.79092133,1.1319126,0.69244206,0.685484,0.46452752,0.33695573,0.14403093,0.628211,0.19344236,0.10034409,0.99024016,0.2808415,1.6781154
CLSTN1,0.17690907,0.543884,0.6821968,1.3355037,0.92399055,0.69229484,0.3458541,0.5419412,0.6095537,0.5277706,0.41842964,1.51167,0.66963947
CTNNBIP1,0.1754766,0.21316962,0.49810058,0.5364507,0.26181746,0.6164969,0.22799051,0.33473212,0.21476415,0.18943015,0.12720227,0.6516873,0.8673981
LZIC,0.28991944,0.47411332,0.316954,0.44059294,0.20154075,0.44451493,0.15040427,0.13929805,0.18129815,0.0437546,0.24026772,0.32619756,0.7452409
NMNAT1,0.34996897,0.06446272,0.41282645,0.16705811,0.14786802,0.31109598,0.118645765,0.15017208,0.2003814,0.09388301,0.02230582,0.19717447,0.74703676
RBP7,0.123185344,0.069693945,0.52900636,0.50121367,0.011464771,0.33726594,0.13292365,0.019524125,0.2775072,0.052142914,0.038527302,0.016801555,1.0227667
UBE4B,1.7811615,0.36457673,0.7111421,2.2606096,1.4693931,0.9238053,1.1989049,1.2086535,1.0393479,1.5711241,0.77889687,1.9122663,0.547963
KIF1B,2.5886056,0.74321526,0.327072,2.7206109,3.3334,1.2715513,2.4904776,1.5469017,1.0153311,0.7389866,0.5789246,2.9681396,0.540285
PGD,0.29948354,0.08049105,0.47310394,0.19070484,0.19465514,0.36807498,0.13097033,0.23568672,0.18551804,0.044158325,0.12481494,0.23650484,0.6988272
CENPS,0.19140589,0.07388457,0.49552184,0.058798365,0.05185627,0.34609422,0.27591324,0.0346157,0.1911354,0.09545606,0.03059761,0.19640799,0.6931111
CORT,1.1041969,0.79644704,0.6429477,0.3464731,0.015847765,0.69933945,0.7815984,0.01313444,0.65310556,0.7613821,0.45102924,0.02005217,0.6763132
DFFA,0.35929543,0.10101534,0.25706777,0.29858798,0.21651465,0.6539869,0.32677254,0.13220686,0.15684175,0.13663134,0.06712446,0.33054206,0.88126856
PEX14,1.0776806,0.26776922,0.34106052,0.9940313,0.9536504,1.5935152,0.1354986,0.85585827,1.3094707,0.65402293,0.5303878,1.3645623,0.50297993
CASZ1,0.3770999,0.19843902,0.32976547,1.0009803,0.24132538,2.4814887,0.8517939,0.09320744,0.1507993,0.3044112,0.07086302,2.027111,0.5471464
C1orf127,0.33710128,0.16577582,0.57367,0.05259644,0.010382937,0.5842658,0.25982314,0.05739328,0.38925064,0.064565234,0.02145627,0.0077332254,0.5457102
MASP2,0.5720815,0.8316821,1.0235393,0.35443446,0.018258987,0.8972144,0.59065855,0.012681099,0.5644525,0.48136824,0.15543371,0.032756496,0.68719035
SRM,0.18817405,0.18865909,0.39997333,0.29585022,0.17181759,0.31401932,0.12307016,0.07211694,0.39590663,0.22757865,0.07238228,0.22169,0.7443173
EXOSC10,0.57585007,0.11263451,0.6894292,0.70785654,0.49934947,0.9070482,0.35874432,0.3589165,0.40508065,0.29898053,0.16015206,0.5823697,0.6816851
MTOR,0.7142362,0.8210974,0.31216294,1.0775073,1.1406608,1.148353,0.2357576,0.67699707,1.3353317,0.50834596,0.6946282,1.0242879,0.8055392
ANGPTL7,0.7209041,0.65191555,0.79988396,0.36492425,0.04048683,1.0207072,0.96652615,0.023674134,0.8096003,0.41352016,0.75406694,0.008664859,0.7995309
UBIAD1,0.12698406,0.27353925,0.56230927,0.20798899,0.045655392,0.42640617,0.17206551,0.05434252,0.25556976,0.10787462,0.11053976,0.17260234,0.81839985
DISP3,0.28909084,0.21554804,0.7008529,0.102449834,0.01584531,0.6262215,0.36291873,0.0061201304,0.51485205,0.19663358,0.032467086,0.031161001,0.98936594
FBXO2,0.14421281,0.07897073,0.40281117,0.062740274,0.03065891,0.36005196,0.15250835,0.0049795085,0.37958798,0.040568624,0.016462844,0.09865435,0.6563762
FBXO44,0.12857653,0.16871826,0.8090011,0.076304644,0.06660218,0.73372304,0.13516319,0.04872197,0.18376222,0.0929529,0.054606132,0.11107315,0.5638992
FBXO6,0.09318634,0.069454685,0.41168174,0.13885473,0.04834498,0.3532217,0.13356419,0.07335849,0.2034021,0.12897645,0.017000549,0.11252294,1.1527947
MAD2L2,0.38244247,0.069555104,0.39130422,0.062024433,0.07261137,0.3566746,0.26362002,0.053104587,0.18929458,0.04167871,0.03503323,0.18945993,0.60503054
AGTRAP,0.18470773,0.06000362,0.29362133,0.45008168,0.12383419,0.86661553,0.33324578,0.06602483,0.1595932,0.13808265,0.035530545,0.36973393,0.7621674
C1orf167,0.11756273,0.07545289,0.41966704,0.04557853,0.013284686,0.41328192,0.15920815,0.005546012,0.29382205,0.10244021,0.016034743,0.05004276,0.6397213
MTHFR,0.5400594,0.1239665,0.3073894,0.59559876,0.2656496,0.27201656,0.22196299,0.5705022,0.39051113,0.2858667,0.07558098,0.6032839,0.6477877
CLCN6,0.39240757,0.30609345,0.45022056,0.6363445,0.4052747,0.7041534,0.32820323,0.49435452,0.34458286,0.07652952,0.09264757,0.46311486,0.5956236
NPPA,0.51185817,0.4135707,0.78375024,0.3181652,0.008723543,0.6667625,0.7751545,0.02591512,0.7442948,0.30960825,0.07440484,0.02939763,0.70801276
NPPB,0.84551734,1.0408288,0.87010086,0.73654073,0.73485595,0.7326082,0.80916387,0.3161325,0.72508293,0.69968414,0.68327904,0.2769115,1.0631343
PLOD1,0.10452824,0.07350823,0.37862626,0.4504424,0.38749984,0.42284995,0.322664,0.12191926,0.35030478,0.20024656,0.032603573,0.25839838,0.5940121
MFN2,0.83120435,0.14840749,0.34598118,0.40168262,0.2914793,1.6852673,0.12506697,0.21365927,0.39017123,0.129604,0.13608015,0.4922036,0.8300219
MIIP,0.07881496,0.05589798,0.3709615,0.10367327,0.0857572,0.42566064,0.11147138,0.063621774,0.21930115,0.052966047,0.034420203,0.13647325,0.690612
TNFRSF8,0.7292298,0.30877852,0.8252715,0.17907287,0.048374217,0.7549536,0.53881055,0.015224325,0.4665205,0.22576275,0.19384089,0.012212095,0.71010935
TNFRSF1B,0.4831172,0.5642676,0.39115003,0.89699376,0.32480076,0.30215558,0.16338369,0.9467078,1.0062674,0.1345668,0.8544544,0.23973455,0.73418343
VPS13D,3.4190545,1.3257357,1.1636927,2.6543524,2.567132,1.4669639,2.0646305,2.0886788,0.6442945,1.6237715,1.8712304,3.3627725,2.3508883
DHRS3,1.058484,0.21904059,0.39387646,0.6714419,0.3200693,0.7278647,0.2616389,0.5493547,0.44996768,0.18995021,0.24961084,0.5318255,0.69679326
AADACL4,0.92485434,0.9438619,0.729001,0.69403595,0.29457876,0.97467804,0.8279755,0.22311936,0.73818016,0.7431663,0.61722744,0.2911437,0.57464385
AADACL3,0.7786939,0.7224126,0.75545156,1.0074689,0.3192138,0.7045274,0.67675686,0.671188,0.5959459,0.6892221,0.93260473,0.128787,0.70801723
C1orf158,0.17611197,0.10056437,0.639395,0.051300112,0.006921044,0.58464396,0.22496222,0.0033897143,0.3667167,0.056356367,0.046378687,0.29407486,0.7111209
PRAMEF12,0.6878393,0.9951697,0.8082405,0.75839067,0.74806494,0.92681533,1.1269282,0.7208017,0.7516679,1.0356654,0.86594236,0.42945012,0.8197583
HNRNPCL1,0.7753669,0.67485285,0.8255343,0.62592906,0.77939427,0.813978,1.1583891,0.8658538,1.0116553,1.026435,1.0889938,0.4124379,0.8029637
PRAMEF2,0.9615803,0.8004736,0.86306465,1.1046107,0.3319351,0.7403041,0.840411,0.2742094,0.54686207,0.7694507,0.58397955,0.41065317,0.83718294
PRAMEF4,0.7705406,0.7174032,0.97226906,0.7421155,0.5903203,0.9520883,0.9780727,0.63197845,1.0272734,0.7135837,0.82806414,0.17642926,0.7795583
PRAMEF27,0.8885086,0.9627148,0.84043676,0.7816827,0.29107374,0.60832435,0.76972973,0.39470524,0.89440656,0.7709449,0.65945363,0.8778486,0.9776785
HNRNPCL3,0.81011355,1.0425757,0.873898,0.92537117,0.7874353,0.7792746,0.80712855,0.41985404,0.38724118,0.45399603,0.91429156,0.59619945,1.0169755
PRAMEF33,1.0137528,0.71498835,0.95106053,0.7934095,0.48699573,1.0682853,1.1827385,0.7149292,0.91786766,0.8245112,0.5547116,0.24621643,0.9753841
PRAMEF19,0.9326723,0.8525679,0.7322465,0.89300376,0.36436826,0.76048726,0.53660303,0.53966624,0.91900724,0.6148263,0.7406854,0.39718035,0.85154337
PRAMEF17,0.5853968,0.84278876,0.61500317,0.86217546,0.5804271,1.0099136,0.8956218,1.1566879,0.71523803,0.81455433,0.6982387,0.41036713,0.96362025
PRAMEF20,0.75252384,0.6185283,0.7902055,0.6083967,0.5913262,1.0221493,1.2058991,0.4409086,0.9442556,0.8508319,0.87030846,0.7856479,0.9476579
LRRC38,0.502765,0.6908689,0.83881295,0.9659932,0.36422044,0.7498361,0.7101,1.3153824,0.79724205,0.7790846,0.7454158,0.2287696,0.95662326
PDPN,0.12524094,0.061593443,0.35920852,0.15247247,0.5114114,0.3705588,0.2420301,0.12680084,0.19652906,0.0936446,0.015103818,0.04107742,0.64401865
PRDM2,1.8715178,2.4758592,0.9013904,1.944374,2.4201899,0.58463323,1.4600302,1.3057384,1.2384003,1.5410042,1.8261214,2.6069255,0.7539105
