,means_per_cluster_mu_fg_Adipocyte,means_per_cluster_mu_fg_B,means_per_cluster_mu_fg_Basal,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblast,means_per_cluster_mu_fg_LumHR,means_per_cluster_mu_fg_LumSec,means_per_cluster_mu_fg_Macrophage,means_per_cluster_mu_fg_Pericyte,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T,means_per_cluster_mu_fg_Tumor,means_per_cluster_mu_fg_pDC
TBX3,0.5660078,0.057528228,0.87971324,0.23538151,0.4150494,0.9371584,0.1295588,0.07614377,0.5323378,0.16159241,0.035798915,1.9113684,0.56843793
MED13L,8.278233,3.9032924,3.3571835,11.095203,10.871849,5.132688,6.001947,9.572701,4.585565,8.711901,4.038125,11.465835,3.365972
MAP1LC3B2,0.7367187,0.81677043,0.8193516,0.7041459,0.043051243,1.0150568,0.73597795,0.060307536,0.65744454,0.9566414,0.44410798,0.008308727,0.8063421
C12orf49,0.24956422,0.05911124,0.51921946,0.27441394,0.15080908,0.3991289,0.3290748,0.120596215,0.22394058,0.15136231,0.11616559,0.2615175,0.55542743
RNFT2,0.15020308,0.08882277,0.5308891,0.07436364,0.04588793,0.8244346,0.21601567,0.07651969,0.25260568,0.21342479,0.105854005,0.15026173,0.80647844
HRK,0.8883927,0.78362685,0.92635626,0.76235026,0.088061936,1.0403662,0.89336175,0.018378172,0.9837288,0.79417425,0.533041,0.021303236,1.0607489
FBXW8,0.47325847,0.6187408,0.29131672,1.1915644,1.2501875,0.8757662,0.72576547,0.62859654,0.400119,0.70310515,0.36690018,1.1425471,0.7513446
TESC,0.7616894,0.83453566,0.74154127,0.30236363,0.021984473,0.7502019,0.71252954,0.016867815,0.9493116,0.32040998,0.28869203,0.028155258,0.9179507
FBXO21,0.43562037,0.24331787,0.61059344,0.5346899,0.518457,0.2887326,1.0210398,0.25935057,0.32563594,0.21752086,0.4229268,0.672042,0.8431009
NOS1,0.7236593,0.4480748,0.7818836,0.28674018,0.024396226,0.6954944,0.48085302,0.0398763,0.88759094,0.48479068,0.21138051,0.015550649,0.5726064
KSR2,0.57178336,0.07978374,0.42790982,0.10455232,0.12156543,0.3698262,0.57539564,0.0330102,0.24085516,0.18002225,0.058137443,0.44988045,0.92866695
RFC5,0.113374196,0.07914676,0.42422065,0.16484278,0.053030696,0.4718764,0.14286017,0.028388573,0.31798074,0.039427496,0.050371338,0.14942093,0.68074036
WSB2,0.43956542,0.21850123,0.40089145,0.34641764,0.34822825,0.63591075,0.11273726,0.2609622,0.98418885,0.08081311,0.14329208,0.32405952,0.8352102
VSIG10,0.957947,0.13368471,0.35232738,0.3320938,0.22967286,0.37467343,0.711157,0.1326362,0.1735983,0.1337026,0.07471591,0.3382475,0.91150755
PEBP1,0.83455557,0.18177426,0.52277035,0.638395,0.54154426,0.40705103,0.44345033,0.27417076,0.2065967,0.26659206,0.10917698,1.3831041,0.889825
TAOK3,2.5436811,3.0106454,0.6684646,3.4732864,4.02575,1.2227079,1.9981425,6.010097,1.0750349,1.9502367,2.7024925,3.9047449,1.9714599
SUDS3,0.65682036,0.31925467,0.29828754,0.74315584,0.54911655,0.60983366,0.23675412,0.34428942,0.9151262,0.40427664,0.33377272,0.8828701,0.8537289
SRRM4,1.056065,0.69201845,0.6948258,0.84423846,0.2546366,0.8751375,0.96046746,0.4530472,0.7192636,0.8193353,0.53092927,0.09645229,0.83765507
