,means_per_cluster_mu_fg_ADM,means_per_cluster_mu_fg_B-cells,means_per_cluster_mu_fg_Ductal-like1,means_per_cluster_mu_fg_Ductal-like2,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblasts,means_per_cluster_mu_fg_Islets,means_per_cluster_mu_fg_Low quality,means_per_cluster_mu_fg_Macrophages,means_per_cluster_mu_fg_Mast,means_per_cluster_mu_fg_Other_doublets,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T-cells,means_per_cluster_mu_fg_Tumor
AGMAT,0.8087526,0.4100109,0.49076775,0.27031273,0.9303647,0.025232304,0.34052745,0.24517733,0.014937684,0.3865527,0.5761926,0.03601809,0.028910398,0.087033644
AL121992.1,0.7992226,1.1787553,0.8695143,0.6853635,1.037568,0.5093398,1.0584607,1.0934476,0.17735182,0.61719036,1.0434792,0.6428361,0.0627819,0.112447396
DDI2,1.6495478,1.0517954,1.1856314,1.6729171,1.3953801,1.5499992,1.5831379,1.4169441,1.54242,0.68406695,1.1654243,0.79199433,0.64959097,1.9524089
RSC1A1,0.9660539,1.0546634,0.9938322,0.9665487,0.97453165,0.8687687,1.0544616,1.0701451,0.77450264,0.9217004,0.98060083,0.909384,0.6747505,0.89800274
AL121992.2,0.99641156,0.8262356,0.7190655,0.9712065,1.1327555,1.0521703,0.96493345,1.0055012,0.9567852,0.74862236,0.9583116,0.89418584,0.8159109,0.84281236
PLEKHM2,0.7731306,0.28198013,0.58392394,0.64998865,1.2659255,1.277198,3.1249125,0.64122015,2.0074618,0.41042203,1.6354327,0.78658086,0.36627382,1.2521282
AL450998.3,0.73651665,0.25365105,0.47417313,0.09139048,0.6994571,0.03857103,0.15971974,0.16614826,0.13252158,0.24587344,0.7218755,0.042656146,0.01730944,0.16214561
SLC25A34,0.80632204,0.31962475,0.32442638,0.105003044,0.6401094,0.22532126,0.14720388,0.11826476,0.053455725,0.17003222,0.5963042,0.022273846,0.023413336,0.19886737
SLC25A34-AS1,1.0631204,0.8387936,0.88310564,0.8694555,0.9017929,0.7453679,0.9678708,0.78805304,0.7343617,0.92720705,0.7736449,0.88439655,0.78200436,0.9881068
TMEM82,0.8040818,0.7973139,0.8255514,0.90070605,0.98990417,0.54870504,1.3335568,0.8645304,0.67996687,0.8335094,0.9011912,0.9224821,0.7983002,0.88124394
FBLIM1,0.79402214,0.30492258,0.37299508,0.18803649,1.0821825,1.2491063,0.51300305,0.28686982,0.042819932,0.2837735,0.9736954,0.10323371,0.03153219,2.15735
UQCRHL,0.7902154,0.47232535,0.79298407,0.82002527,0.77113295,0.13743955,0.6674343,0.60973114,0.06945811,0.8396606,0.7480546,0.20312284,0.015903769,0.062308382
AL450998.2,0.9047804,0.47607458,0.8241975,0.48006782,0.5135724,0.22612432,0.8592886,0.20952514,0.16700526,0.293777,0.77551764,0.1598413,0.13211168,0.43103448
SPEN,0.8282829,0.6538941,1.4105531,1.6977086,2.140305,1.8146173,2.4595792,0.84653383,2.2442205,1.028751,1.7139139,2.4578743,1.1362803,3.8402941
ZBTB17,0.60777974,0.64229566,1.0020893,0.2904029,0.98553765,0.18527482,0.5438591,0.543759,0.3292566,0.2729275,0.6900041,0.3757019,0.1598081,0.39755094
SRARP,0.6099423,0.84661466,0.9824754,0.8900017,1.0304726,0.9403775,1.0826356,0.84381455,1.1812589,0.8171133,1.1714511,0.95025986,0.78769165,0.80697614
AL355994.3,0.80567896,1.1044829,1.0257018,1.042536,1.0204672,0.7981288,1.098813,0.9939932,0.59871304,0.9350736,0.59240013,1.1711626,0.8777251,0.62371314
HSPB7,0.7517469,0.7839922,1.1079547,1.0670176,1.0646347,0.49067956,1.0205134,1.0241963,0.09070714,1.0017757,1.0622052,0.44496584,0.04747691,0.14547963
CLCNKA,0.980016,0.84041697,0.9355254,0.89695835,0.9266349,0.43744138,0.9000731,0.7695671,0.06381579,0.71081334,0.64466465,0.4907251,0.021555826,0.09259897
CLCNKB,0.98266935,1.092022,0.70418626,0.9435562,0.9931219,0.6860456,0.8085959,1.173555,0.66281784,0.9401503,0.85553604,0.69184613,0.41944808,0.77626336
FAM131C,1.1071814,1.0575548,0.936453,1.0430886,0.8749345,0.85587305,0.8932112,1.0684832,0.38405094,0.67393166,0.68180335,0.83879346,0.39721277,0.5773014
EPHA2,0.8610167,0.14277029,1.0153224,0.46232477,0.6982813,0.093073174,0.14443511,0.6672466,0.098965734,0.18129016,0.770343,0.035960224,0.046432976,3.3940942
AL451042.2,0.8863907,0.42822295,0.6375022,0.4002709,1.092253,0.055206675,0.38902265,0.35211444,0.020254426,0.48236653,0.73366195,0.042224027,0.0040273154,0.11049916
AL451042.1,0.8684673,0.3027005,0.6025757,0.14716311,0.6131159,0.021296903,0.20663546,0.19334522,0.014110043,0.29200482,0.75769246,0.020035077,0.0071760924,0.18678804
ARHGEF19-AS1,0.6970464,1.1021452,0.6657646,0.9414187,0.8940175,0.73735017,0.8282249,0.9025007,0.94369954,0.79162663,0.87124974,1.0368235,0.6623163,0.5609797
ARHGEF19,1.007499,0.17496046,0.46866983,0.115943454,0.69329345,0.054815196,0.13124146,0.3283553,0.054116286,0.28761503,0.63217354,0.14743377,0.025741862,0.20274837
AL109627.1,0.76112217,1.0293776,0.7465406,0.8448096,0.8416063,0.65407497,0.7983982,0.85086715,0.26659647,0.9250266,1.0032138,0.8410526,0.4875714,0.6777234
CPLANE2,0.908224,0.98354673,0.9768124,1.1066804,0.68565917,0.45815098,1.0182796,0.82127905,0.18836415,1.084446,1.116227,0.5016337,0.062946044,0.17062901
FBXO42,1.6144532,0.5797594,2.6184576,1.5052339,2.0617752,1.797631,3.992013,1.4259481,2.2096224,0.7810429,1.0142756,1.1636283,0.8208614,3.3535283
SZRD1,0.76964146,0.29485556,0.28818586,0.24888611,0.5940686,0.28357583,0.4223049,0.32454088,0.4567087,0.16038448,0.56465185,0.53044087,0.18630941,0.7226032
SPATA21,0.9380587,0.22685431,0.4452924,0.21274514,0.6653172,0.07656875,0.28896248,0.1263541,0.051371384,0.2268247,0.8478336,0.09338785,0.016852982,0.16033642
NECAP2,0.66627103,0.44172072,0.91629887,0.09133769,0.58525574,0.40966028,0.3215835,0.30488423,0.83407015,0.1351945,0.7168628,0.31378967,0.44800115,0.8284099
LINC01772,0.9437016,0.3142087,0.49651402,0.16178086,0.7514055,0.09865352,0.25013453,0.23660898,0.105426066,0.28790793,0.743334,0.02428691,0.02564051,0.07473886
AL137802.2,0.8305451,0.80787426,0.73693496,0.63764966,0.88118345,0.3469247,0.9899304,0.7201679,0.052848306,0.90182126,0.8456913,0.29188314,0.011041137,0.1090808
AL137802.1,0.95113426,0.9697297,0.9052059,0.99058867,0.95765567,0.9773835,0.9267819,0.88730925,0.85130703,0.99160963,0.8584682,0.8460994,0.8524076,0.54792446
LINC01783,0.84511757,1.0738597,0.9389713,1.0241591,0.9825252,0.8934334,0.8111566,0.9532188,0.8359071,1.1572262,0.9649102,0.92532164,0.5559068,0.8601459
NBPF1,0.8063883,0.6917128,0.696432,0.70521826,0.9558985,0.60856813,0.74159706,0.17305796,1.0044816,0.5418726,1.2966877,0.09838939,0.059684426,0.31832018
AL137798.1,1.0860875,0.8198406,0.9416329,1.0628986,0.6549839,0.9454793,1.0883753,0.9639003,0.9506537,0.844276,0.5881615,0.7531189,0.6749567,0.5702316
AL137798.2,0.78715986,0.83026415,0.9481329,0.75724655,0.88867307,0.9381933,0.9055506,0.820869,0.6606784,0.9361708,0.93439126,0.8197704,0.5945435,0.6267441
AL021920.1,0.78137666,0.80566716,0.9611717,0.9126141,0.92551476,1.17834,0.70151854,0.9883456,0.7828097,0.86183053,0.7700557,0.9913663,0.4736139,1.0848421
AL021920.3,1.0921054,0.9986189,0.88495934,0.832347,0.8430853,0.86727214,0.8554361,0.8934698,0.9251893,0.7312184,0.83813167,0.97816426,0.4563751,0.8352759
CROCC,0.82971656,0.17088385,0.9392138,0.44371027,1.4611329,0.87914646,0.8037311,0.4150386,0.28139493,0.3895928,0.62340665,0.26421782,0.26340726,1.0412201
BX284668.1,0.88872814,0.7509694,0.77392393,0.8416487,0.8069184,0.93611985,0.73730683,0.76570195,0.77319586,0.788603,0.8754105,0.956764,0.8034063,0.392539
BX284668.2,0.84849787,1.2105671,0.8710253,0.9151952,0.94474196,0.92108804,0.9143721,1.0089552,0.8496328,1.1068255,1.0421476,0.9024775,0.82582164,0.7928672
BX284668.5,0.7322589,0.31341058,0.40366825,0.28805655,1.0012412,0.018351162,0.20996258,0.20182207,0.13235624,0.13067731,0.6065862,0.04062571,0.031458024,0.27913392
BX284668.6,0.5832219,0.843714,0.94563854,0.7049266,0.69827384,0.15792911,0.800575,0.74800146,0.012775023,0.4886781,1.1062518,0.20301446,0.007072623,0.10236744
MFAP2,0.6857433,0.18626489,0.42600724,0.19124036,0.5840455,0.52157867,0.13071838,0.12135031,0.020544322,0.13942839,0.63786083,0.038001597,0.010667367,0.020421298
AL049569.2,0.6120318,0.90909934,0.9949646,0.9743871,0.8647939,0.8035649,0.862241,0.8907191,0.7588342,1.0150735,1.0121473,0.82258713,1.0405881,0.571916
AL049569.1,0.9964775,0.17883913,0.4509586,0.11029338,1.0073246,0.26700866,0.12207587,0.116692044,0.04395646,0.19757721,0.5603432,0.08158218,0.008444238,0.1504382
ATP13A2,0.75790936,0.3270196,0.54152113,0.24309587,0.4258152,0.6112045,0.108911216,0.23137082,0.23985954,0.18368007,0.7014909,0.081528075,0.10443549,0.41182375
SDHB,0.61133724,0.34058878,0.75980854,0.6759451,0.572396,0.7469217,0.63720393,0.8453721,1.1067098,1.2820785,0.71687984,0.35184887,0.45167318,1.6256016
PADI2,0.79715186,0.25997233,0.45807618,0.12763742,0.57658523,0.056908946,0.14001477,1.0623635,2.0879006,0.5470107,0.6930747,0.044220794,0.01994471,0.06611808
LINC02783,1.0477788,0.8779387,0.74108446,0.87995213,1.5232385,0.77423525,1.0225804,0.94156677,0.78816825,0.75212103,0.811357,0.77898794,0.45241916,0.5690137
AL590644.1,0.82267284,0.46083194,0.88543665,1.0754828,1.0998399,0.9962942,0.83538073,0.9774821,0.77568644,1.0107092,0.9171255,0.96869415,0.92257273,1.1256962
PADI1,0.90799934,0.6309387,0.7670552,0.71057826,0.8665863,0.17096895,0.73710877,0.42190686,0.05386137,0.7614087,0.9057019,0.20231844,0.0066272253,0.4504984
PADI3,0.5989298,1.1658547,0.9233878,1.0885184,0.92670244,0.84963286,0.924309,0.9711879,0.50798863,0.9844875,0.82049775,0.8656488,0.51122797,0.47974947
PADI4,1.123751,1.1327957,1.061534,0.83258456,0.76666504,0.7870017,1.019371,0.8988571,0.5663667,1.0832865,1.0642549,0.82255167,0.30164224,0.5279225
PADI6,0.89139163,0.9377107,0.8407803,0.79529184,1.02202,0.72579515,0.9914872,0.8041664,0.6555958,0.8506729,0.94758743,0.96977353,0.74661136,0.9704901
RCC2-AS1,0.95435095,0.9496621,0.8707847,0.8797233,0.95188165,0.7659025,0.828458,0.9301722,0.6607263,0.93815196,0.9974849,0.50828654,0.840238,0.63212144
RCC2,0.91939133,0.45104295,0.8949242,0.9793222,1.4203062,0.46761957,0.22039038,0.93946284,1.6354196,0.9806972,0.62901956,0.78823143,0.39910755,2.0749347
ARHGEF10L,0.8563565,0.33490294,1.6773176,3.6606479,0.50873667,0.9640302,4.2354155,0.6736278,2.1556125,0.35601822,1.4821591,0.16106845,0.052580234,2.9349227
LINC02810,1.0105803,1.1265723,0.6994405,0.8300798,1.0679135,1.0855899,1.0074849,1.1066692,0.8189573,0.9382021,0.871926,0.9103258,1.0056267,0.72013783
ACTL8,0.86742914,1.0092691,1.032806,0.94358695,1.1516374,0.877258,0.92437863,0.8235688,0.89265233,0.89596695,0.6700101,1.1455828,0.69913965,0.9701649
AL357509.1,1.0286407,0.723203,1.1309036,1.0288997,0.89786756,0.8455729,0.8457716,0.88540614,0.7698648,0.7956714,0.5689103,1.2699306,0.6214402,0.805747
LINC01654,0.6922819,0.9344379,0.98987055,0.6306287,0.8924259,0.8444998,0.79869056,1.0029515,1.0127345,1.0618256,0.6398422,0.8252014,0.5740209,0.8313969
IGSF21,0.9937271,0.2677885,0.581801,0.15212001,0.8355799,0.13564546,0.36137018,0.18679097,1.5793744,0.2578565,0.74038744,0.2184078,0.011970322,0.062122725
IGSF21-AS1,1.049162,0.9527249,0.76440525,1.0603863,0.98059034,0.76814836,1.1818693,0.9155909,0.46700042,0.637053,0.7247261,0.69974005,0.54254335,0.51506287
AL591896.1,0.95912534,1.003356,0.9011194,1.0861659,0.97389483,0.9494118,0.86651826,1.0415088,0.7017281,0.9178807,0.8152777,0.99797726,0.8349997,0.7593149
KLHDC7A,0.8334807,0.8854398,0.79254705,1.0037202,0.8329872,0.9896871,0.7914271,0.92666477,0.80581903,0.941059,1.0388077,0.93961334,0.71830386,1.04449
PAX7,0.79489547,0.9279431,0.78349787,0.95640135,0.9214322,0.62697077,0.9568789,0.961069,0.5116508,1.037888,0.8740502,0.82491374,0.94319457,0.6104582
TAS1R2,0.7321183,0.7605446,0.81454396,0.96270084,0.75943905,0.97504735,1.1779419,0.95951635,0.59133685,0.8969333,0.8953127,0.8561117,0.88412505,0.7065291
ALDH4A1,0.5947756,0.1268204,0.3342058,0.09619132,0.543928,0.086228676,0.10761319,0.09287887,0.07849592,0.1523997,0.5945851,0.022277737,0.014731034,0.12984306
IFFO2,0.7481202,0.20730473,0.64531195,0.49326417,0.58077973,0.14192253,0.36022818,0.23550238,0.07939722,0.5523223,0.66688555,0.5497013,0.21811776,0.25939792
AL137127.1,0.9301122,0.6419478,0.8675902,0.5471517,0.75343853,0.05043293,0.4711315,0.73212373,0.01905619,0.6542832,0.96564376,0.107650094,0.005826798,0.07928023
UBR4,0.93279165,1.5538428,1.4845668,1.303353,1.3778752,1.6094279,2.5725226,0.8174142,2.030636,0.89935917,3.4570706,1.6476259,1.1802726,4.087958
EMC1-AS1,0.8067567,0.1495753,1.5808605,1.0078185,0.4780165,0.4428507,0.9409694,0.10057127,0.3096681,0.29120538,0.7188851,0.42428964,0.15952124,0.6689891
EMC1,1.3345853,0.54381984,0.36119288,0.2600319,1.1440132,0.27837256,0.21959856,0.46106428,0.2594347,0.68277156,0.64936084,0.23533532,0.11903937,0.49085733
MRTO4,0.8965562,0.21562651,1.2754961,0.19100536,0.5359526,0.11025618,0.59500897,0.21812625,0.042054616,0.15632533,0.8227931,0.06106156,0.05304126,0.5187754
AKR7A3,0.9749561,0.3151675,0.50213814,0.17353222,0.91299397,0.0406795,0.14171425,0.31303275,0.030272707,0.21534763,0.84320605,0.06904042,0.004253618,0.22326224
AKR7A2,0.84840214,0.31466505,0.3799932,0.16033433,0.44435212,0.13157734,0.21766956,0.2128549,0.045255862,0.15943816,0.61421245,0.06466993,0.015399238,0.16376907
SLC66A1,0.5130257,0.20525078,0.48422372,0.15466651,0.6089013,0.044743456,0.42114016,0.14599434,0.11540369,0.17109647,0.8879163,0.15098116,0.022018988,0.18512349
CAPZB,1.5878371,1.3405421,1.7798434,2.9295182,4.688957,3.5900533,6.186169,2.4145305,5.153973,1.5458958,0.74603736,2.2878385,2.813619,6.5186934
MICOS10,0.75904405,0.26504514,0.32820252,0.51084673,0.49126026,0.47367015,3.9015548,0.7499522,0.6363753,0.12493814,0.677494,0.28271958,0.1896697,1.1196843
AL031727.2,1.0708508,1.1346893,1.1477449,1.038263,0.8689125,1.0328114,0.9607044,0.8853478,0.68963265,1.0038667,0.8804915,0.73365414,0.6970958,0.8334017
NBL1,0.58821625,0.13611476,0.3681413,0.56260455,0.5660545,1.6680692,0.5473545,0.34135816,0.11763472,0.2711788,0.69790405,0.08054008,0.07721089,0.5394017
HTR6,0.8327755,1.1094326,1.101915,0.972823,0.7390516,0.90090376,0.84337914,1.1216034,0.92427343,1.0030131,0.97253,0.8037889,0.8711371,0.80976516
TMCO4,0.7035858,0.70273805,1.5343608,1.6836032,0.55323243,0.6939565,1.5461211,0.902391,1.0812432,0.6247067,2.2169247,1.3587458,0.40610486,2.9328575
RNF186,0.8746001,0.83979577,0.8581778,0.99553955,0.9199846,0.8613522,0.9840899,0.89987236,0.851139,0.9258227,0.8091904,0.82797927,0.86794686,0.96012187
AL391883.1,0.86981136,0.8769899,0.9678134,0.93929785,0.747429,1.0102476,1.054067,0.983474,0.7476754,0.58311635,0.9089058,0.70813286,0.55718213,0.6359274
OTUD3,1.5337874,0.3494571,1.259103,0.27832496,0.52198577,0.18764955,0.1991956,0.32276312,0.20075354,0.15015364,1.1731675,0.2934215,0.16436343,0.77370214
PLA2G2E,0.9223132,1.034609,0.8057445,0.9461674,0.5193527,0.74466276,0.77110064,1.1414495,0.9787344,0.9375403,0.8815574,0.9952698,0.7118234,0.8089199
PLA2G2A,0.93260777,1.036912,0.7953601,0.7455819,0.5049108,0.74826753,0.75911236,0.81866425,0.7825715,0.8301697,0.8207265,0.7909856,0.68637335,0.92635524
PLA2G5,0.9338102,0.7938457,0.88390875,0.9540311,1.2606286,0.9363796,1.0218605,0.6505335,0.5398836,0.91728693,0.88634336,0.8595654,0.20713131,0.5419906
PLA2G2D,0.95576584,0.92522895,0.86041236,0.71668726,0.84417176,0.7192632,1.0681925,0.84773546,0.49525177,0.85613644,0.95817965,0.76665086,0.34105566,0.46003643
PLA2G2F,0.693941,0.9117499,0.7939023,0.7337887,1.1017644,0.9973829,0.89039934,1.0716599,0.62149626,0.89861727,0.9906091,0.7914552,0.6832828,1.1300963
Z98257.1,1.0122463,0.6233625,0.79155976,0.28706527,0.76232153,0.025077067,0.32829016,0.21792139,0.08552534,0.422694,0.84600145,0.06499792,0.0042643133,0.119966105
PLA2G2C,0.9597777,1.0483057,0.64050174,0.9052437,0.99810517,0.3793974,0.9175942,0.8841014,0.49523106,0.7968251,0.8901512,0.7056916,0.35692838,0.5173491
UBXN10-AS1,0.7175603,1.0483168,0.904259,0.9501361,1.1794055,0.77002096,0.6951546,1.0510945,0.8177185,0.86942905,1.000067,1.0781109,0.75515944,0.8672347
UBXN10,0.8399788,0.23933648,0.563988,0.16413186,0.64547336,0.060252894,0.3218574,0.21967198,0.007478778,0.2096695,0.8154108,0.025715446,0.011423845,0.1779477
LINC01757,0.8638034,0.92893827,0.6893563,0.8982245,1.1319162,0.85083115,0.8935864,0.91850096,1.0527432,1.0326307,0.83520836,0.810236,0.88959426,0.8965538
Z98257.2,0.7754184,0.95290834,0.9339907,0.95215505,1.0410471,0.9234621,0.8200166,0.77978855,0.7598775,0.84100205,0.83172876,0.61740196,0.8015782,0.54662573
VWA5B1,0.8359234,0.86745656,0.89520335,1.0520725,1.2203534,0.6509296,0.9356483,0.9259241,0.46277764,0.7854455,0.92486084,0.6362372,0.491688,0.5456739
AL020998.1,0.76734644,0.84454733,0.8067764,0.9528698,0.9462756,1.0338918,0.9534204,0.81131,0.67562217,0.97010475,0.87477297,0.72043496,0.69572234,0.60616034
LINC01141,0.79492474,0.82634234,0.9387424,1.2178922,0.96178186,0.7960552,0.85558856,0.9784142,0.7875471,0.8852139,1.0766404,0.6951377,0.6052881,0.7785493
AL139254.1,0.9283911,0.81514007,0.86555415,0.99063104,1.0884156,0.91254085,0.8542789,1.0140586,0.8950163,0.92248106,0.31211236,0.63669735,0.8767138,0.7363023
AL139254.2,1.1187344,0.9418601,1.0958087,1.2054732,1.1044949,1.2430458,0.9578581,0.9197665,0.7964193,0.95116234,1.066787,0.87993354,0.87487274,0.66562253
AL139254.3,0.8240672,1.2251414,1.0595081,0.9825202,1.0618067,0.6907605,0.9568287,0.8775391,0.5918474,0.92831284,0.9987646,0.8634637,0.5744197,0.69557184
CAMK2N1,0.8013215,0.13590811,0.35488307,0.6271712,0.57073545,0.29810518,1.7869003,0.6406756,0.048460014,0.24343635,0.72983605,0.15834548,0.071466945,2.765063
MUL1,0.96924126,0.2807398,0.6009955,0.16218975,0.67770267,0.077254295,0.18413195,0.21155871,0.14289068,0.4302137,0.8545273,0.084236406,0.06543245,0.19889687
FAM43B,1.0083307,0.91998976,0.7829012,0.8856206,0.96414846,0.9530041,1.0431427,0.7802827,0.8455276,0.8246997,0.97961926,1.0579109,0.98327726,0.95055956
CDA,0.90288496,0.993585,1.0729506,0.85586333,0.9534946,0.6707611,0.9223427,0.9396257,0.37998056,0.9541636,1.0344247,0.6653068,0.12855546,0.28418678
PINK1,0.87125146,0.18695891,0.44911876,0.27698946,1.0238625,0.11226523,0.22403578,0.11899523,0.17788662,0.1467866,0.7509107,0.3529881,0.0684828,0.22155897
PINK1-AS,0.8596837,0.5093503,0.5581927,0.28690308,0.94231623,0.022247802,0.31144083,0.15711412,0.07402771,0.5297383,0.8848709,0.04155015,0.033251185,0.050503433
DDOST,0.6140086,0.4725047,0.3240642,0.43223965,0.94835573,0.34205914,0.95395327,0.4169813,0.24585868,0.27803978,0.6764293,0.45229626,0.18336718,0.69172275
KIF17,0.6341764,1.1173705,0.89129907,0.7832806,1.0305995,0.68203306,0.6629684,0.91826063,0.5471914,0.89780813,1.024901,0.65757257,0.45411894,0.41045848
SH2D5,0.97475195,0.9273098,1.0463775,0.8940959,0.75437766,0.7622685,1.0112684,0.79299295,0.6749114,1.0678766,0.8627938,0.9575781,0.716569,0.6685372
AL663074.1,0.91717446,0.9404497,0.9310658,0.89488417,0.9157837,0.89455026,1.0545563,0.93645716,0.9565292,0.9333898,0.9397937,1.0982419,0.98208094,0.68277
HP1BP3,0.98508537,1.5858234,3.9470873,2.979309,4.133135,4.1051817,4.0991354,3.1742787,4.187936,0.8112869,1.7064309,4.6715813,2.7816126,11.778419
EIF4G3,1.6343304,3.1565998,5.253252,9.818199,8.212598,6.276904,10.410241,3.2053134,8.290324,2.8547442,5.822801,3.1950545,3.6784348,15.661122
AL031005.2,0.86208063,0.95704824,1.2214353,0.918433,0.78290564,1.0000238,0.9544603,0.8915067,0.71038735,1.0642308,1.0585543,0.7624953,0.52090454,0.5993386
ECE1,0.917547,0.4626661,1.0866354,0.1596941,2.5128038,2.1666012,2.6265557,0.5271852,0.15649047,0.26243344,1.0474347,1.1280127,0.54935604,2.187523
AL031005.1,0.78256667,0.9807765,1.0226249,0.8142466,0.7982858,0.819682,0.88988554,0.84993964,0.6674177,0.8293076,0.6872411,0.8815107,0.7515344,0.7093248
AL031728.1,0.7674434,1.0015565,0.9860304,0.9938854,0.8289658,0.9506857,0.6562269,0.80651176,0.7233175,0.89607733,0.9411246,0.59462124,0.44135982,0.6538851
AL592309.2,1.0839678,0.9063247,0.9743438,1.0880464,1.0685304,0.8482611,0.8679529,0.9010218,1.0221713,0.7422445,0.8645141,0.7868625,0.4762833,0.88301957
NBPF3,0.6584497,0.38742444,0.6645728,0.6167455,1.4396567,0.4087233,1.2488254,0.27265316,0.3042206,0.28937295,1.0767632,0.11143663,0.15589967,0.91683185
ALPL,0.55615056,0.8739468,1.0667835,0.9550276,1.0191225,0.45296106,0.8295695,0.82495993,0.062404424,0.8517481,0.82121265,0.4197325,0.025712034,0.07268686
LINC02596,0.9727718,0.39586723,0.6829458,0.19873121,0.7622267,0.03722244,0.28280768,0.2552552,0.006771025,0.32168838,0.7701248,0.033870637,0.0052311984,0.17656484
RAP1GAP,1.7348204,0.1733452,1.3457098,1.6059581,0.57326883,0.10776707,3.1484437,0.2954599,0.08035161,0.24216299,2.1674552,0.061151806,0.03449798,3.905956
USP48,1.4749149,1.5955466,3.775076,2.295774,0.935962,3.006924,4.450752,1.1624237,2.7816923,1.734895,1.1073668,10.228356,1.9617482,9.211361
LDLRAD2,0.8667631,0.24809034,0.3583723,0.1078828,0.65336436,0.10474891,0.14073555,0.1322367,0.043214403,0.4489254,0.7570161,0.21825542,0.0065436875,0.23007414
HSPG2,0.8465243,0.3372454,0.2681143,1.6961191,6.174013,3.1942832,0.5699761,1.6350647,0.23636645,0.6568457,0.5447541,0.5455117,0.094811745,10.217968
CELA3B,0.8124347,0.23930307,0.5317792,0.13684458,0.96448874,0.023175202,0.18156889,0.14147326,0.012786175,0.22504914,0.84212035,0.020509375,0.004294645,0.37413567
CELA3A,0.79963076,0.75404674,1.0456072,0.8342269,0.7757778,0.4909037,0.9006091,0.7252044,0.057279132,0.95845884,0.7013858,0.5944772,0.021118678,0.12427077
LINC01635,0.90978783,0.95063114,0.9014376,0.73251283,0.9158692,0.9177823,0.80780655,0.91075313,0.8350046,1.0308403,0.7923607,0.9108308,0.32155007,0.55236953
LINC00339,0.83641344,0.17085709,0.44829217,0.30719823,0.56997895,0.21496889,0.2650973,0.109745026,0.079288,0.10643762,1.0336382,0.06525646,0.06868374,0.25658885
CDC42,0.82485765,1.1131084,2.1452143,0.7953608,1.7912351,0.7923971,2.3611228,0.7895303,1.6118685,1.0936862,1.0603032,1.0949364,1.0275514,4.834562
CDC42-AS1,0.84463245,0.2280616,0.5586208,0.24355562,0.7915774,0.020796023,0.1804787,0.19726834,0.06564687,0.23644264,1.236357,0.03126139,0.046137728,0.20084585
CDC42-IT1,0.94066906,0.16271634,0.7336266,0.1247653,0.51171994,0.038937327,0.22516248,0.25091624,0.063694715,0.1743336,1.2564479,0.04443168,0.04421264,0.2979974
WNT4,0.9613414,0.17513178,0.3989941,0.103152245,0.7010579,0.18448505,0.99196506,0.12595873,0.0069190585,0.12208591,0.66346353,0.022531908,0.016844727,0.20748591
AL445253.1,0.83287925,0.7358049,0.892678,0.74744314,1.0411102,0.26663062,0.76538825,0.80464953,0.03483962,0.9702681,0.9133176,0.26262894,0.024227893,0.13489397
ZBTB40,0.7987876,0.45278606,1.4519941,0.697449,0.52817786,0.31121495,0.56118196,0.7328916,0.7025774,0.8061127,1.6492308,2.2183754,0.4946595,1.3388089
ZBTB40-IT1,0.92646235,1.0396029,0.94429594,0.89075553,0.970266,1.1512994,1.1738118,0.8098484,0.7957004,0.9825324,0.7922432,1.0016493,0.8244493,0.74297786
EPHA8,0.9806516,0.9545647,1.0008726,0.58100224,1.0410066,0.9324466,1.0204233,1.0963283,0.71818537,0.8587137,0.77880794,1.0413212,0.6442454,0.8476279
C1QA,0.754267,0.13650216,0.3285396,0.08934984,0.5576029,0.30061573,0.3120343,0.534787,1.7179875,0.3623945,0.76216274,0.035827976,0.06933414,0.052477296
C1QC,0.7832799,0.30703428,0.44630852,0.08892498,0.7756636,0.07499622,0.12331267,0.28982165,1.1202846,0.12125864,0.7039017,0.060000423,0.032828446,0.03522544
C1QB,0.705082,0.1776343,0.36861014,0.11051093,0.5526941,0.14080846,0.117942795,0.4225198,1.5900401,0.25055707,0.7104924,0.02585705,0.055566825,0.089677945
EPHB2,0.8923341,0.51560396,1.0383278,0.36565784,0.6254994,0.95178366,0.53141606,0.28792387,0.41753697,0.17052625,0.72356063,0.0853559,0.026003102,0.12587371
AL512444.1,0.69161445,0.7311437,0.9402909,0.90910834,0.91393083,0.7308937,0.79676527,1.0210704,0.5045636,0.9260767,0.94403744,0.90066457,0.71698546,0.61273164
LACTBL1,0.97544485,0.9084594,0.98784846,0.93368244,0.9360786,0.968714,0.9099907,0.72378296,0.85531694,0.7512426,0.8413986,0.8801431,0.7622854,1.3408854
TEX46,0.7117174,0.8791347,1.0706829,0.9312732,0.7966674,1.0208755,0.8215477,0.94723994,0.6447241,0.9283388,1.1142943,0.5576418,0.6694174,0.67856133
KDM1A,0.79303306,0.3671127,1.3126353,1.1513498,0.4895414,1.1319361,1.6137357,0.67044675,0.91492516,1.206949,2.1183996,0.7944474,0.5782919,1.8571545
AL031428.1,0.77319014,0.16572492,1.992687,1.2868999,1.8861327,0.59940064,0.8214225,0.69813037,0.5558017,0.27685177,0.88993645,0.42427534,0.32436153,1.343472
